,Mean,Variance,Up,Class
85,3333.3333333333335,4111111.11111111,0.64274,droneB
86,3900.0,3790000.0,0.80972,droneB
87,3526.315789473684,4986149.584487535,0.70227,droneB
88,3571.4285714285716,3102040.81632653,0.51929,droneB
89,3500.0,4750000.0,0.60963,droneB
90,3526.315789473684,3722991.6897506933,0.70732,droneB
91,3235.294117647059,3238754.3252595155,0.61177,droneB
92,3900.0,3790000.0,0.83173,droneB
93,3476.190476190476,3773242.6303854873,0.77422,droneB
94,3823.529411764706,3792387.5432525952,0.69405,droneB
95,3470.5882352941176,3543252.595155709,0.62189,droneB
96,3250.0,3937500.0,0.55811,droneB
97,3842.1052631578946,4343490.30470914,0.73,droneB
98,3526.315789473684,3722991.6897506923,0.67,droneB
99,3941.176470588235,4290657.439446367,0.7,droneB
100,4664.857142857143,6161434.122448979,0.38167,random-signal
101,9800.0,12783328.0,0.55721,random-signal
102,6136.4,14926259.439999998,0.40935,random-signal
103,6026.125,22653124.859375,0.5086,random-signal
104,6977.142857142857,18770456.979591835,0.4884,random-signal
105,9468.5,5852503.583333333,0.56811,random-signal
106,11155.5,12314538.916666666,0.66933,random-signal
107,4835.25,17234266.1875,0.47814,random-signal
108,10958.0,14344378.8,0.60507,random-signal
109,5465.142857142857,15842725.836734697,0.46235,random-signal
110,8855.333333333334,18807189.555555556,0.63103,random-signal
111,10172.8,18368252.96,0.52198,random-signal
112,6140.8,14495122.960000003,0.50246,random-signal
113,5967.571428571428,17460761.959183674,0.53712,random-signal
114,5798.0,13532228.333333334,0.36789,random-signal
115,6132.333333333333,11540182.222222222,0.37143,random-signal
116,4848.0,13762777.666666666,0.43269,random-signal
117,6261.75,18301153.4375,0.51618,random-signal
118,8364.0,10618567.333333334,0.59331,random-signal
119,5990.714285714285,19693295.63265306,0.51451,random-signal
120,4967.75,8061444.4375,0.43137,random-signal
121,6985.333333333333,17545265.22222222,0.46739,random-signal
122,9209.2,5479412.159999999,0.66404,random-signal
123,8020.166666666667,1516182.8055555557,0.5327,random-signal
124,11475.75,4168715.1875,0.55362,random-signal
125,6768.714285714285,23965904.48979592,0.55189,random-signal
126,6282.714285714285,23439581.346938778,0.50374,random-signal
127,5783.833333333333,17481517.805555556,0.36854,random-signal
128,5574.571428571428,12598477.959183674,0.49855,random-signal
129,10380.833333333334,11151022.805555556,0.62285,random-signal
130,8084.142857142857,7693765.551020408,0.56589,random-signal
131,7910.166666666667,18249771.13888889,0.47461,random-signal
132,6937.428571428572,25878605.959183674,0.53084,random-signal
133,6989.6,11512848.24,0.44224,random-signal
134,9568.4,20091513.84,0.57891,random-signal
135,7110.25,20173053.9375,0.58659,random-signal
136,7849.4,28850584.24,0.48201,random-signal
137,8761.5,15919503.25,0.54961,random-signal
138,9695.6,2227670.6399999997,0.60084,random-signal
139,8784.6,14465149.040000001,0.5981,random-signal
140,7348.333333333333,19177382.888888888,0.51355,random-signal
141,5003.125,26338930.359375,0.47073,random-signal
142,7050.166666666667,10137399.13888889,0.52351,random-signal
143,5448.571428571428,21725735.673469387,0.39171,random-signal
144,8329.333333333334,25462846.222222224,0.49976,random-signal
145,5396.1,21646484.490000002,0.53961,random-signal
146,5532.714285714285,15882388.48979592,0.40003,random-signal
147,5959.714285714285,15485389.346938776,0.41846,random-signal
148,5177.625,10085938.734375,0.41421,random-signal
149,8970.833333333334,24070490.472222224,0.60495,random-signal
150,2500.0,250000.0,0.81583,wifi
151,2600.0,240000.0,0.79795,wifi
152,2363.6363636363635,231404.95867768594,0.79242,wifi
153,2451.6129032258063,247658.6888657648,0.8031,wifi
154,2424.242424242424,244260.7897153352,0.8007,wifi
155,2531.25,249023.4375,0.81273,wifi
156,2437.5,246093.75,0.80119,wifi
157,2566.6666666666665,245555.55555555556,0.81072,wifi
158,2375.0,234375.0,0.79869,wifi
159,2437.5,246093.75,0.78667,wifi
160,2468.75,249023.4375,0.79845,wifi
161,2483.8709677419356,249739.85431841828,0.80048,wifi
162,2375.0,234375.0,0.78941,wifi
163,2516.1290322580644,249739.85431841828,0.8097,wifi
164,2483.8709677419356,249739.85431841825,0.79196,wifi
165,2500.0,250000.0,0.80858,wifi
166,2566.6666666666665,245555.55555555556,0.80432,wifi
167,2483.8709677419356,249739.85431841828,0.79551,wifi
168,2533.3333333333335,248888.88888888896,0.79998,wifi
169,2437.5,246093.75,0.78418,wifi
170,2689.655172413793,214030.91557669448,0.81093,wifi
171,2566.6666666666665,245555.55555555556,0.80523,wifi
172,2580.6451612903224,243496.35796045788,0.81288,wifi
173,2516.1290322580644,249739.85431841828,0.80659,wifi
174,2419.3548387096776,243496.35796045788,0.80072,wifi
175,2468.75,249023.4375,0.79108,wifi
